NumIters	Seconds	LearningRate	loss
20.0	7.323133	0.001	1.60015
40.0	14.532136	0.001	1.10904
60.0	21.690598	0.001	1.49354
80.0	29.04416	0.001	0.782027
100.0	36.447799	0.001	1.0966
120.0	43.922402	0.001	0.401953
140.0	51.257167	0.001	0.61582
160.0	58.553426	0.001	0.823807
180.0	65.93489	0.001	0.37565
200.0	73.33039	0.001	1.58147
220.0	80.693099	0.001	0.727445
240.0	87.877753	0.001	0.58562
260.0	95.017371	0.001	0.820143
280.0	102.260084	0.001	0.845753
300.0	109.486244	0.001	1.44151
320.0	116.883705	0.001	0.845523
340.0	124.197695	0.001	1.27728
360.0	131.586241	0.001	0.954999
380.0	138.967458	0.001	0.552895
400.0	146.483608	0.001	1.07217
420.0	153.912462	0.001	1.07994
440.0	161.321655	0.001	0.622148
460.0	168.670217	0.001	1.38565
480.0	175.963104	0.001	1.11839
500.0	183.252185	0.001	0.830227
520.0	190.646399	0.001	0.399876
540.0	198.075966	0.001	0.872012
560.0	205.448335	0.001	0.937732
580.0	212.793252	0.001	0.994277
600.0	220.20637	0.001	0.885589
620.0	227.563267	0.001	0.59865
640.0	234.962322	0.001	1.47855
660.0	242.260927	0.001	0.742129
680.0	249.742553	0.001	0.745933
700.0	257.173712	0.001	0.980593
720.0	264.496594	0.001	0.868684
740.0	271.877158	0.001	0.350298
760.0	279.229933	0.001	0.642511
780.0	286.67301	0.001	0.704224
800.0	293.918125	0.001	0.574277
820.0	301.288405	0.001	0.25727
840.0	308.565336	0.001	0.253746
860.0	315.80082	0.001	0.525358
880.0	323.129225	0.001	0.815566
900.0	330.435246	0.001	1.58525
920.0	337.822974	0.001	0.943266
940.0	345.249428	0.001	0.434437
960.0	352.601608	0.001	1.2232
980.0	360.036164	0.001	0.390803
1000.0	367.362247	0.001	0.629939
1020.0	374.792804	0.001	0.739848
1040.0	382.291249	0.001	0.427042
1060.0	389.616452	0.001	0.948415
1080.0	396.824563	0.001	0.410007
1100.0	404.135191	0.001	0.470108
1120.0	411.543937	0.001	0.483873
1140.0	418.904804	0.001	0.508597
1160.0	426.26583	0.001	0.326353
1180.0	433.583096	0.001	0.540339
1200.0	440.856971	0.001	0.91506
1220.0	448.276708	0.001	0.723451
1240.0	455.549661	0.001	0.998863
1260.0	462.844738	0.001	0.440033
1280.0	470.254741	0.001	0.604599
1300.0	477.67311	0.001	0.705982
1320.0	484.900478	0.001	0.219674
1340.0	492.248318	0.001	0.401667
1360.0	499.628785	0.001	0.201565
1380.0	506.989405	0.001	0.421679
1400.0	514.408674	0.001	0.749404
1420.0	521.869232	0.001	0.409334
1440.0	529.24254	0.001	0.687129
1460.0	536.681742	0.001	0.718049
1480.0	544.039371	0.001	0.34059
1500.0	551.36744	0.001	0.732982
1520.0	558.750684	0.001	1.19456
1540.0	566.015657	0.001	0.534412
1560.0	573.225884	0.001	0.693065
1580.0	580.620173	0.001	0.51568
1600.0	588.128216	0.001	0.725431
1620.0	595.535293	0.001	0.44549
1640.0	602.731784	0.001	0.813468
1660.0	610.03109	0.001	1.05849
1680.0	617.487783	0.001	0.363252
1700.0	624.807184	0.001	0.260752
1720.0	632.224119	0.001	0.53504
1740.0	639.657286	0.001	0.384208
1760.0	647.139564	0.001	0.708436
1780.0	654.573398	0.001	1.2529
1800.0	661.95095	0.001	0.657526
1820.0	669.362607	0.001	0.231858
1840.0	676.693984	0.001	0.920257
1860.0	683.951596	0.001	1.37945
1880.0	691.312803	0.001	0.282502
1900.0	698.600255	0.001	0.469755
1920.0	705.948946	0.001	0.180528
1940.0	713.209111	0.001	0.644285
1960.0	720.523995	0.001	1.00033
1980.0	727.819885	0.001	0.700245
2000.0	735.065649	0.001	0.582053
2020.0	742.255893	0.001	0.353018
2040.0	749.710393	0.001	0.934292
2060.0	757.046027	0.001	0.790696
2080.0	764.33601	0.001	0.700163
2100.0	771.654814	0.001	0.940907
2120.0	778.884811	0.001	0.322484
2140.0	786.144518	0.001	0.687839
2160.0	793.563735	0.001	0.6495
2180.0	800.86652	0.001	0.861132
2200.0	808.226691	0.001	0.646531
2220.0	815.772727	0.001	0.642812
2240.0	823.175997	0.001	0.352483
2260.0	830.602568	0.001	0.330142
2280.0	837.87218	0.001	0.945634
2300.0	845.296674	0.001	0.897133
2320.0	852.562469	0.001	0.640132
2340.0	859.949548	0.001	0.319951
2360.0	867.407232	0.001	0.84444
2380.0	874.819422	0.001	0.717769
2400.0	882.219765	0.001	0.816482
2420.0	889.694916	0.001	0.17639
2440.0	897.14836	0.001	0.606114
2460.0	904.544373	0.001	0.240774
2480.0	911.769503	0.001	0.439268
2500.0	919.155233	0.001	0.392977
2520.0	926.495854	0.001	0.565583
2540.0	933.936662	0.001	0.401984
2560.0	941.304431	0.001	0.169241
2580.0	948.809557	0.001	0.147118
2600.0	956.207639	0.001	0.43477
2620.0	963.420661	0.001	0.603406
2640.0	970.580798	0.001	0.253441
2660.0	977.984035	0.001	0.26846
2680.0	985.237866	0.001	0.823584
2700.0	992.587482	0.001	0.658616
2720.0	1000.03941	0.001	0.399627
2740.0	1007.210254	0.001	1.07043
2760.0	1014.694417	0.001	0.295678
2780.0	1021.978498	0.001	0.70364
2800.0	1029.321771	0.001	1.15883
2820.0	1036.572809	0.001	0.309955
2840.0	1043.959112	0.001	0.511932
